seed,phase,optimizer,rate_scope,rule,contrast,value
1102,fresh,sgd,selected,calibrated_broadcast,control_gap,1.3185580129300016e-05
1103,fresh,sgd,selected,calibrated_broadcast,control_gap,-2.1173706296100038e-05
1104,fresh,sgd,selected,calibrated_broadcast,control_gap,-9.263071126849995e-05
1105,fresh,sgd,selected,calibrated_broadcast,control_gap,-9.616624704300006e-06
1106,fresh,sgd,selected,calibrated_broadcast,control_gap,-4.727729849500007e-06
1107,fresh,sgd,selected,calibrated_broadcast,control_gap,-2.3638890839699947e-05
1108,fresh,sgd,selected,calibrated_broadcast,control_gap,-1.5983100485500006e-05
1109,fresh,sgd,selected,calibrated_broadcast,control_gap,1.0696052689799986e-05
1110,fresh,sgd,selected,calibrated_broadcast,control_gap,-2.7443451419900038e-05
1111,fresh,sgd,selected,calibrated_broadcast,control_gap,-1.4137252808199942e-05
1112,fresh,sgd,selected,calibrated_broadcast,control_gap,-4.940126091229998e-05
1113,fresh,sgd,selected,calibrated_broadcast,control_gap,-7.95219674145e-05
1114,fresh,sgd,selected,calibrated_broadcast,control_gap,-1.607119794699998e-06
1115,fresh,sgd,selected,calibrated_broadcast,control_gap,-4.574594515019994e-05
1116,fresh,sgd,selected,calibrated_broadcast,control_gap,-5.008021457279994e-05
1117,fresh,sgd,selected,calibrated_broadcast,control_gap,-3.1273163814800006e-05
1118,fresh,sgd,selected,calibrated_broadcast,control_gap,-2.2877710976899998e-05
1119,fresh,sgd,selected,calibrated_broadcast,control_gap,-6.592307599000017e-06
1120,fresh,sgd,selected,calibrated_broadcast,control_gap,-3.850103486250007e-05
1101,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,0.0002835914503292
1102,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,4.8613561696501055e-05
1103,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,0.0003720936053965
1104,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,0.00021380638051849993
1105,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,0.0002444579265535
1106,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,0.00038001203007140006
1107,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,0.0002989327575929
1108,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,0.0002383227663182
1109,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,1.9863258252800014e-05
1110,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,0.00010914870288770002
1111,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,0.00012397849338459995
1112,fresh,sgd,selected,calibrated_broadcast,task_difference_in_gap,4.8542277262699965e-05
