seed,reliability_heterogeneity,branch,signal_energy,noise_energy,signal_to_noise,optimal_reliability_gain,coefficient_noise_sd
7104,2,1,2.728770598e-05,0.0004751255702,0.05743261927,0.05431326613,4.446232444
7104,2,2,2.912616791e-05,0.0001617291019,0.1800923121,0.1526086648,2.56722358
7104,2,3,2.813691301e-05,4.982470354e-05,0.564718122,0.3609072548,1.438493654
7104,2,4,3.924963712e-05,2.216498136e-05,1.770794952,0.6390927452,0.9572554019
7104,2,5,2.155965883e-05,3.882728808e-06,5.552707876,0.8473913352,0.4010384016
7104,2,6,2.965971965e-05,1.703435386e-06,17.41170806,0.9456867339,0.2645279789
7104,2,7,2.699931435e-05,4.945096918e-07,54.59815003,0.98201379,0.1429200535
7105,0,0,2.762600805e-05,2.762600805e-05,1,0.5,1.063032979
7105,0,1,2.677834189e-05,2.677834189e-05,1,0.5,1.057064521
7105,0,2,2.1223883e-05,2.1223883e-05,1,0.5,0.9420640096
7105,0,3,2.15040726e-05,2.15040726e-05,1,0.5,0.9476035559
7105,0,4,3.72984914e-05,3.72984914e-05,1,0.5,1.239655213
7105,0,5,2.275297308e-05,2.275297308e-05,1,0.5,0.975600168
7105,0,6,3.364769309e-05,3.364769309e-05,1,0.5,1.169966066
7105,0,7,2.630667207e-05,2.630667207e-05,1,0.5,1.039618154
7105,0.5,0,2.762600805e-05,7.509527567e-05,0.3678794412,0.2689414214,1.752645084
7105,0.5,1,2.677834189e-05,5.470084388e-05,0.4895416596,0.3286525465,1.510798931
7105,0.5,2,2.1223883e-05,3.257999771e-05,0.6514390575,0.3944675128,1.167195261
7105,0.5,3,2.15040726e-05,2.48063454e-05,0.8668778998,0.4643463292,1.017765479
7105,0.5,4,3.72984914e-05,3.233323789e-05,1.153564995,0.5356536708,1.154196829
7105,0.5,5,2.275297308e-05,1.482217534e-05,1.535063009,0.6055324872,0.7874242096
7105,0.5,6,3.364769309e-05,1.647194752e-05,2.04272707,0.6713474535,0.8185931263
7105,0.5,7,2.630667207e-05,9.677683822e-06,2.718281828,0.7310585786,0.630560285
7105,1,0,2.762600805e-05,0.0002041301233,0.1353352832,0.119202922,2.88962323
7105,1,1,2.677834189e-05,0.0001117388946,0.2396510364,0.1933213698,2.159294313
7105,1,2,2.1223883e-05,5.001234933e-05,0.4243728457,0.2979366301,1.446127614
7105,1,3,2.15040726e-05,2.861573171e-05,0.7514772931,0.4290534031,1.093122291
7105,1,4,3.72984914e-05,2.802896935e-05,1.330712197,0.5709465969,1.074629708
7105,1,5,2.275297308e-05,9.655743933e-06,2.356418442,0.7020633699,0.635544054
7105,1,6,3.364769309e-05,8.063704523e-06,4.172733884,0.8066786302,0.5727471298
7105,1,7,2.630667207e-05,3.560220916e-06,7.389056099,0.880797078,0.3824541456
7105,1.5,0,2.762600805e-05,0.0005548832047,0.04978706837,0.04742587318,4.764183284
7105,1.5,1,2.677834189e-05,0.0002282520647,0.1173191661,0.105000585,3.086149874
7105,1.5,2,2.1223883e-05,7.677210746e-05,0.2764530466,0.2165790958,1.79171827
7105,1.5,3,2.15040726e-05,3.30101064e-05,0.6514390575,0.3944675128,1.17405863
7105,1.5,4,3.72984914e-05,2.429769408e-05,1.535063009,0.6055324872,1.000547723
7105,1.5,5,2.275297308e-05,6.290128727e-06,3.617250785,0.7834209042,0.512958885
7105,1.5,6,3.364769309e-05,3.947519294e-06,8.523756461,0.894999415,0.4007354376
7105,1.5,7,2.630667207e-05,1.309732081e-06,20.08553692,0.9525741268,0.2319701653
7105,2,0,2.762600805e-05,0.001508328932,0.01831563889,0.03,7.854810317
7105,2,1,2.677834189e-05,0.0004662566714,0.05743261927,0.05431326613,4.410848946
7105,2,2,2.1223883e-05,0.0001178500223,0.1800923121,0.1526086648,2.219897006
7105,2,3,2.15040726e-05,3.807930322e-05,0.564718122,0.3609072548,1.26098761
7105,2,4,3.72984914e-05,2.106313402e-05,1.770794952,0.6390927452,0.9315727439
7105,2,5,2.275297308e-05,4.09763553e-06,5.552707876,0.8473913352,0.4140182195
7105,2,6,3.364769309e-05,1.932475146e-06,17.41170806,0.9456867339,0.2803835804
7105,2,7,2.630667207e-05,4.818235061e-07,54.59815003,0.98201379,0.1406970174
7106,0,0,3.396191981e-05,3.396191981e-05,1,0.5,1.189113373
7106,0,1,2.037669118e-05,2.037669118e-05,1,0.5,0.9177932702
7106,0,2,3.033098096e-05,3.033098096e-05,1,0.5,1.114584674
7106,0,3,3.788437395e-05,3.788437395e-05,1,0.5,1.245685235
7106,0,4,2.324448456e-05,2.324448456e-05,1,0.5,0.9775478733
7106,0,5,2.181708672e-05,2.181708672e-05,1,0.5,0.9492092078
7106,0,6,2.136572531e-05,2.136572531e-05,1,0.5,0.9406887643
7106,0,7,1.9646328e-05,1.9646328e-05,1,0.5,0.898060754
7106,0.5,0,3.396191981e-05,9.231806947e-05,0.3678794412,0.2689414214,1.960516511
7106,0.5,1,2.037669118e-05,4.162401868e-05,0.4895416596,0.3286525465,1.311746883
7106,0.5,2,3.033098096e-05,4.655996691e-05,0.6514390575,0.3944675128,1.380944327
7106,0.5,3,3.788437395e-05,4.370208765e-05,0.8668778998,0.4643463292,1.337917552
7106,0.5,4,2.324448456e-05,2.015012996e-05,1.153564995,0.5356536708,0.9101584402
7106,0.5,5,2.181708672e-05,1.421250241e-05,1.535063009,0.6055324872,0.7661235972
7106,0.5,6,2.136572531e-05,1.045941263e-05,2.04272707,0.6713474535,0.6581740946
7106,0.5,7,1.9646328e-05,7.227480166e-06,2.718281828,0.7310585786,0.5447013816
7106,1,0,3.396191981e-05,0.0002509465307,0.1353352832,0.119202922,3.232345274
7106,1,1,2.037669118e-05,8.502650972e-05,0.2396510364,0.1933213698,1.874801158
7106,1,2,3.033098096e-05,7.147248292e-05,0.4243728457,0.2979366301,1.710957703
7106,1,3,3.788437395e-05,5.041319851e-05,0.7514772931,0.4290534031,1.436978882
7106,1,4,2.324448456e-05,1.746770234e-05,1.330712197,0.5709465969,0.8474146473
7106,1,5,2.181708672e-05,9.258579176e-06,2.356418442,0.7020633699,0.6183519517
7106,1,6,2.136572531e-05,5.120318216e-06,4.172733884,0.8066786302,0.4605063388
7106,1,7,1.9646328e-05,2.658841365e-06,7.389056099,0.880797078,0.3303780883
7106,1.5,0,3.396191981e-05,0.0006821433943,0.04978706837,0.04742587318,5.329236407
7106,1.5,1,2.037669118e-05,0.0001736859531,0.1173191661,0.105000585,2.679540868
7106,1.5,2,3.033098096e-05,0.0001097147647,0.2764530466,0.2165790958,2.119836554
7106,1.5,3,3.788437395e-05,5.815490109e-05,0.6514390575,0.3944675128,1.543374854
7106,1.5,4,2.324448456e-05,1.514236512e-05,1.535063009,0.6055324872,0.7889962371
7106,1.5,5,2.181708672e-05,6.031400092e-06,3.617250785,0.7834209042,0.4990828341
7106,1.5,6,2.136572531e-05,2.506609077e-06,8.523756461,0.894999415,0.3222036385
7106,1.5,7,1.9646328e-05,9.781330754e-07,20.08553692,0.9525741268,0.2003844399
