panel,record,rule,severity,mean,ci_low,ci_high,n,forward,metric,seed,value,comparison,rate_scope,optimizer,bound
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092212.0,0.5859514157846067,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092213.0,0.5423631717961037,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092214.0,0.5427633864412884,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092215.0,0.4512308518121988,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092216.0,0.3612239300476939,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092217.0,0.5258790727707294,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092218.0,0.4945686717923547,,,,
I,seed outcome,broadcast,,,,,,current,ood_3.0,2026092219.0,0.5860094116270785,,,,
I,mean and bootstrap interval,resistance,,0.22496485131697144,0.18607351760850802,0.2653697546279575,20.0,current,ood_3.0,,,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092200.0,0.1000967466900254,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092201.0,0.2413463157601507,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092202.0,0.4112801484648745,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092203.0,0.1479438325994826,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092204.0,0.2178849684445399,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092205.0,0.0609197919224799,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092206.0,0.4103279752436801,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092207.0,0.1852107763250623,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092208.0,0.163137859324699,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092209.0,0.2193222843551988,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092210.0,0.2799719739976076,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092211.0,0.2836323943051619,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092212.0,0.2054098667805101,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092213.0,0.3331840100610216,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092214.0,0.1550584425954958,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092215.0,0.2449475039729977,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092216.0,0.108737008566325,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092217.0,0.2539581778368329,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092218.0,0.2464267902719293,,,,
I,seed outcome,resistance,,,,,,current,ood_3.0,2026092219.0,0.2305001588213531,,,,
J,mean and bootstrap interval,broadcast,,0.0001575988853459765,0.00014071635396277103,0.00017531346228030512,20.0,,test_nmse,,,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092200.0,0.0001011541594986,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092201.0,0.0001987769136493,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092202.0,0.0001548981674146,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092203.0,0.0001933602449591,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092204.0,0.0001312835091297,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092205.0,7.995695013932992e-05,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092206.0,0.0001551840456406,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092207.0,0.0001453078116506,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092208.0,0.0001454519294161,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092209.0,0.0001483030296443,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092210.0,0.0001445737126034,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092211.0,0.0001718149287394,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092212.0,0.0001814622511773,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092213.0,0.0001478144668889,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092214.0,0.0002385638934229,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092215.0,0.0001412353603498,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092216.0,0.000175326355249,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092217.0,0.000241030028594,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092218.0,0.0001275013522402,0.0,selected,,
J,seed outcome,broadcast,,,,,,,test_nmse,2026092219.0,0.0001289785965124,0.0,selected,,
J,mean and bootstrap interval,resistance,,9.502492791800554e-05,8.07391080167726e-05,0.00010967832938792499,20.0,,test_nmse,,,0.0,selected,,
