panel,task,rule,rate,step,mean,ci95_low,ci95_high,n_seeds,positive_seeds,sensitivity,model,optimizer,contrast,k
F,quartet,exact,,1024.0,0.15163557658929702,0.04702839862925804,0.28126653100255994,20.0,20.0,,,,,
F,quartet,calibrated_broadcast,,1024.0,0.9813028162601102,0.9322168795259821,1.0260794184400615,20.0,20.0,,,,,
F,nested,exact,,1024.0,0.022953246897965657,0.02267050099532716,0.023247438999722148,20.0,20.0,,,,,
F,nested,calibrated_broadcast,,1024.0,0.7689584669638313,0.7497167381603286,0.7842580374985663,20.0,20.0,,,,,
F,quartet,unit_broadcast minus calibrated_broadcast,,1024.0,-0.01305840060810265,-0.0746420895869328,0.04101620618622484,20.0,8.0,,,,,
F,nested,unit_broadcast minus calibrated_broadcast,,1024.0,-0.016736353372163816,-0.03793132224158057,0.003079776570143984,20.0,7.0,,,,,
G,matching,,,,-0.0081500418988701,-0.0248858028001114,0.0006914294664872,20.0,15.0,selected_rate,algebraic,adam,calibrated_broadcast minus exact,
G,quartet,,,,0.829667239670813,0.7074324116302538,0.9288008414745692,20.0,20.0,selected_rate,algebraic,adam,calibrated_broadcast minus exact,
G,nested,,,,0.7460052200658656,0.7268204392109656,0.7612980028020996,20.0,20.0,selected_rate,algebraic,adam,calibrated_broadcast minus exact,
G,quartet_minus_matching,,,,0.8378172815696834,0.7190435929903065,0.9307531820366128,20.0,20.0,selected_rate,algebraic,adam,calibrated_broadcast minus exact interaction,
G,quartet_minus_matching,,,,0.8434843457183965,0.7271907217284305,0.9347230884724236,20.0,20.0,common_rate,algebraic,adam,calibrated_broadcast minus exact interaction,
H,matching,,,0.0,0.7637297203220823,,,,,,,,,1
H,matching,,,0.0,0.936350130153469,,,,,,,,,2
H,matching,,,0.0,0.9790701268597536,,,,,,,,,3
H,matching,,,0.0,0.9945246306524677,,,,,,,,,4
H,matching,,,0.0,0.9988904379466488,,,,,,,,,5
H,matching,,,0.0,0.9999999999999998,,,,,,,,,6
H,matching,,,1024.0,0.9972607720271401,0.9930671493328491,0.999875655825543,20.0,20.0,,,,,1
H,matching,,,1024.0,0.9995128354884331,0.9988547315229167,0.9999804321407854,20.0,20.0,,,,,2
H,matching,,,1024.0,0.9999496212551009,0.9998619474975425,0.9999954693884655,20.0,20.0,,,,,3
H,matching,,,1024.0,0.9999939162256869,0.9999854901896489,0.9999987241608528,20.0,20.0,,,,,4
H,matching,,,1024.0,0.9999999834717123,0.9999999546986115,0.9999999999376539,20.0,20.0,,,,,5
H,matching,,,1024.0,1.0,1.0,1.0,20.0,20.0,,,,,6
H,matching,,,1024.0,0.12240388807925182,0.06304736585597748,0.19628444230096964,20.0,20.0,,,,,uniform
