post_soma_id,routes,method,capture,null_sd
256530,16,random actual routes,0.6150360550354607,0.14850855540694308
256530,16,depth-preserving ancestry shuffle,0.5570411168486418,0.02768024776885084
256530,16,depth bins,0.601509945626786,
256609,1,dense SVD oracle,0.3748944186266152,
256609,1,morphology-selected actual routes,0.37227403376488666,
256609,1,random actual routes,0.04336609062121024,0.05753747012145779
256609,1,depth-preserving ancestry shuffle,0.3087490321799286,0.008383186906788312
256609,1,depth bins,0.37227403376488666,
256609,2,dense SVD oracle,0.45986581011264993,
256609,2,morphology-selected actual routes,0.4410018768128917,
256609,2,random actual routes,0.08218259013667584,0.06762379710318554
256609,2,depth-preserving ancestry shuffle,0.31956345883887693,0.015947802783841676
256609,2,depth bins,0.3814262030271507,
256609,4,dense SVD oracle,0.5951651110765548,
256609,4,morphology-selected actual routes,0.5730740302333561,
256609,4,random actual routes,0.15612830198176889,0.0954325084265078
256609,4,depth-preserving ancestry shuffle,0.3412735073252655,0.021200036577331376
256609,4,depth bins,0.3953769284517741,
256609,8,dense SVD oracle,0.7600984191779149,
256609,8,morphology-selected actual routes,0.7228992946654622,
256609,8,random actual routes,0.30052019691857884,0.11133923767571834
256609,8,depth-preserving ancestry shuffle,0.3810799777487407,0.02183361231027546
256609,8,depth bins,0.4292659705887306,
256609,16,dense SVD oracle,0.8891632594053286,
256609,16,morphology-selected actual routes,0.8674679589778105,
256609,16,random actual routes,0.5159250486353214,0.10255326361665447
256609,16,depth-preserving ancestry shuffle,0.46065766734382296,0.024628322240615858
256609,16,depth bins,0.4952670039070627,
256610,1,dense SVD oracle,0.5000425802575423,
256610,1,morphology-selected actual routes,0.4840443320047404,
256610,1,random actual routes,0.05777360768892312,0.10665367263361528
256610,1,depth-preserving ancestry shuffle,0.20460266497632815,0.03179351731188114
256610,1,depth bins,0.21042560992609394,
256610,2,dense SVD oracle,0.5663404260498165,
256610,2,morphology-selected actual routes,0.5101458492754173,
256610,2,random actual routes,0.11958298443246146,0.15841245262414075
256610,2,depth-preserving ancestry shuffle,0.26353115908792224,0.0313256798948311
256610,2,depth bins,0.24858479946080048,
256610,4,dense SVD oracle,0.6892647939173957,
256610,4,morphology-selected actual routes,0.6010606541573991,
256610,4,random actual routes,0.2152911791066331,0.17410213772595518
256610,4,depth-preserving ancestry shuffle,0.31065589426810614,0.025655159907691332
256610,4,depth bins,0.32682099891313376,
256610,8,dense SVD oracle,0.7999295211011768,
256610,8,morphology-selected actual routes,0.7772034927405119,
256610,8,random actual routes,0.404242029738467,0.19241117622129195
256610,8,depth-preserving ancestry shuffle,0.36097534922778446,0.029099830681094528
256610,8,depth bins,0.38140056780747866,
256610,16,dense SVD oracle,0.9142661355903929,
256610,16,morphology-selected actual routes,0.8824867685480786,
256610,16,random actual routes,0.680400401164176,0.13003714004650185
256610,16,depth-preserving ancestry shuffle,0.4503844485137157,0.0336896058066526
256610,16,depth bins,0.4396912722073181,
291175,1,dense SVD oracle,0.324784268232082,
291175,1,morphology-selected actual routes,0.32087997258675394,
291175,1,random actual routes,0.02990074915091425,0.047277712674204664
291175,1,depth-preserving ancestry shuffle,0.11771692176864708,0.024677625139494352
291175,1,depth bins,0.11515367226925788,
291175,2,dense SVD oracle,0.4274319181610631,
291175,2,morphology-selected actual routes,0.3772148296087525,
291175,2,random actual routes,0.06645652800748221,0.06738627317775303
291175,2,depth-preserving ancestry shuffle,0.14652484260235715,0.026312488683772516
291175,2,depth bins,0.14084802248833994,
291175,4,dense SVD oracle,0.5506448553910631,
291175,4,morphology-selected actual routes,0.5015119878915952,
291175,4,random actual routes,0.12641044465606888,0.08447457805010262
291175,4,depth-preserving ancestry shuffle,0.17301763030549958,0.028075933626108048
291175,4,depth bins,0.20624736727624737,
