task_id,family,candidate_id,shape,normalized_mse,mean_restart_error,restart_std,centered_cut_bound,centered_cut_sum,full_cut_bound,pilot_error,optimization_gap_above_bound
matching_012,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_013,quadratic_matching,balanced_p0,balanced,0.75,0.75,0.0,0.5,1.75,0.5,0.75,0.25
matching_013,quadratic_matching,balanced_p1,balanced,0.4999999999999999,0.625,0.14433756729740646,0.5,2.0,0.5,0.7629941850535974,-1.1102230246251565e-16
matching_013,quadratic_matching,balanced_p2,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_013,quadratic_matching,balanced_p3,balanced,0.5,0.625,0.14433756729740643,0.5,2.0,0.5,0.5,0.0
matching_013,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.5,1.75,0.5,0.7500000006830445,0.25
matching_013,quadratic_matching,comb_p1,comb,0.75,0.75,0.0,0.75,2.5,0.5,0.7500000000004836,0.0
matching_013,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500000000000053,0.0
matching_013,quadratic_matching,comb_p3,comb,0.7499999999999999,0.75,0.0,0.75,2.75,0.5,0.75,-1.1102230246251565e-16
matching_013,quadratic_matching,mixed_p0,mixed,0.5,0.5,0.0,0.5,1.75,0.5,0.5,0.0
matching_013,quadratic_matching,mixed_p1,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.7500000024968498,0.0
matching_013,quadratic_matching,mixed_p2,mixed,0.75,0.75,0.0,0.75,2.25,0.5,0.75,0.0
matching_013,quadratic_matching,mixed_p3,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_014,quadratic_matching,balanced_p0,balanced,0.5,0.5,0.0,0.5,1.5,0.5,0.5000000008530225,0.0
matching_014,quadratic_matching,balanced_p1,balanced,0.75,0.75,0.0,0.75,2.5,0.5,0.75,0.0
matching_014,quadratic_matching,balanced_p2,balanced,0.5,0.5,0.0,0.5,2.0,0.5,0.5,0.0
matching_014,quadratic_matching,balanced_p3,balanced,0.5,0.5,0.0,0.5,2.0,0.5,0.5,0.0
matching_014,quadratic_matching,comb_p0,comb,0.75,0.75,0.0,0.5,1.75,0.5,0.7500000068163535,0.25
matching_014,quadratic_matching,comb_p1,comb,0.75,0.75,0.0,0.75,3.0,0.5,0.7500003841405631,0.0
matching_014,quadratic_matching,comb_p2,comb,0.75,0.75,0.0,0.5,2.0,0.5,0.7500000000000102,0.25
matching_014,quadratic_matching,comb_p3,comb,0.75,0.75,0.0,0.5,2.25,0.5,0.7500000023270541,0.25
matching_014,quadratic_matching,mixed_p0,mixed,0.5,0.5,0.0,0.5,1.75,0.5,0.5,0.0
matching_014,quadratic_matching,mixed_p1,mixed,0.75,0.75,0.0,0.75,2.5,0.5,0.7500000000000002,0.0
matching_014,quadratic_matching,mixed_p2,mixed,0.25,0.25,0.0,0.25,1.25,0.25,0.25,0.0
matching_014,quadratic_matching,mixed_p3,mixed,0.4999999999999999,0.5625,0.12500000000000003,0.5,1.5,0.5,0.5000000000002902,-1.1102230246251565e-16
matching_015,quadratic_matching,balanced_p0,balanced,0.2499999999999999,0.24999999999999997,5.551115123125783e-17,0.25,0.5,0.25,0.25,-1.1102230246251565e-16
