arm,regime,task_id,split,seed,rank,noise_sd,angle_pi,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,checkpoint,test_loss,population_loss,observed_objective,population_objective
feedback_only,fixed_cache,s6102_r8_n000_a250,development,6102,8,0.0,0.25,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,9.175072038055034e-09,9.063398818093244e-09,0.08389935643364789,0.08389935632197468
feedback_only,fixed_cache,s6102_r8_n000_a500,development,6102,8,0.0,0.5,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,3.0477213690229606e-08,2.8739578232192294e-08,0.08389937773578954,0.08389937599815409
feedback_only,fixed_cache,s6102_r8_n750_a000,development,6102,8,0.75,0.0,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3043613398473644,0.2994783537022494,0.38826068710594025,0.38337770096082524
feedback_only,fixed_cache,s6102_r8_n750_a250,development,6102,8,0.75,0.25,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3043492266205361,0.2994690297533736,0.38824857387911194,0.3833683770119494
feedback_only,fixed_cache,s6102_r8_n750_a500,development,6102,8,0.75,0.5,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3043402382636254,0.2994625298068329,0.3882395855222012,0.38336187706540875
feedback_only,fixed_cache,s6103_r1_n000_a000,development,6103,1,0.0,0.0,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,5.651926643110779e-32,2.0824117523686988e-32,0.013899347258575865,0.013899347258575865
feedback_only,fixed_cache,s6103_r1_n000_a250,development,6103,1,0.0,0.25,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,6.304261477309884e-32,8.859277744181285e-33,0.013899347258575865,0.013899347258575865
feedback_only,fixed_cache,s6103_r1_n000_a500,development,6103,1,0.0,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,1.895786678621463e-19,1.9219474427560988e-19,0.023899347258575863,0.023899347258575863
feedback_only,fixed_cache,s6103_r1_n750_a000,development,6103,1,0.75,0.0,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,0.2842443063121367,0.2908828059669524,0.2981436535707126,0.30478215322552826
feedback_only,fixed_cache,s6103_r1_n750_a250,development,6103,1,0.75,0.25,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,0.2796841724558886,0.2849991785413913,0.2935835197144645,0.2988985257999672
feedback_only,fixed_cache,s6103_r1_n750_a500,development,6103,1,0.75,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.2790630314870914,0.283590732516443,0.3029623787456672,0.30749007977501885
feedback_only,fixed_cache,s6103_r2_n000_a000,development,6103,2,0.0,0.0,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,5.375791556736814e-32,1.6370404527291502e-32,0.023899347258575863,0.023899347258575863
feedback_only,fixed_cache,s6103_r2_n000_a250,development,6103,2,0.0,0.25,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,1.414420515537431e-25,1.4664650790543636e-25,0.023899347258575863,0.023899347258575863
feedback_only,fixed_cache,s6103_r2_n000_a500,development,6103,2,0.0,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,1.0521178816853974e-09,1.0696181351234343e-09,0.023899348310693746,0.023899348328193997
feedback_only,fixed_cache,s6103_r2_n750_a000,development,6103,2,0.75,0.0,comb_contiguous_k2,comb_contiguous,comb,2,0.35,0.25,1.0,64,64,16,256,0.3027629443177722,0.3022442735205615,0.3307629443177722,0.3302442735205615
feedback_only,fixed_cache,s6103_r2_n750_a250,development,6103,2,0.75,0.25,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.3158846978750554,0.25,0.6588469787505544,64,64,16,256,0.297295857168489,0.2981506934713611,0.3225666329984934,0.3234214693013655
feedback_only,fixed_cache,s6103_r2_n750_a500,development,6103,2,0.75,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.2888752124745091,0.2896523810036859,0.31277455973308493,0.31355172826226174
feedback_only,fixed_cache,s6103_r4_n000_a000,development,6103,4,0.0,0.0,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,1.9366982392377018e-17,2.0301642561682968e-17,0.04389934725857589,0.04389934725857589
feedback_only,fixed_cache,s6103_r4_n000_a250,development,6103,4,0.0,0.25,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,3.220947539771022e-11,3.347677143806996e-11,0.043899347290785345,0.04389934729205264
feedback_only,fixed_cache,s6103_r4_n000_a500,development,6103,4,0.0,0.5,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,256,0.0059498402340564,0.0060685774575651,0.05102187205721318,0.05114060928072189
feedback_only,fixed_cache,s6103_r4_n750_a000,development,6103,4,0.75,0.0,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,0.3067172038743859,0.3028425613067812,0.35061655113296175,0.3467419085653571
feedback_only,fixed_cache,s6103_r4_n750_a250,development,6103,4,0.75,0.25,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,0.2999530466601086,0.2957017838580737,0.34385239391868444,0.3396011311166496
feedback_only,fixed_cache,s6103_r4_n750_a500,development,6103,4,0.75,0.5,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,256,0.3005980286573533,0.296797053013086,0.3456700604805101,0.3418690848362428
feedback_only,fixed_cache,s6103_r8_n000_a000,development,6103,8,0.0,0.0,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,2.296484175355973e-08,2.2404950459898784e-08,0.0838993702234176,0.08389936966352632
feedback_only,fixed_cache,s6103_r8_n000_a250,development,6103,8,0.0,0.25,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,1.0784153486981984e-08,1.0590696862732145e-08,0.08389935804272934,0.08389935784927272
feedback_only,fixed_cache,s6103_r8_n000_a500,development,6103,8,0.0,0.5,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,4.4879190195015655e-09,4.605048861401481e-09,0.08389935174649488,0.08389935186362471
feedback_only,fixed_cache,s6103_r8_n750_a000,development,6103,8,0.75,0.0,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3169294211106727,0.3063608059201424,0.4008287683692485,0.39026015317871826
feedback_only,fixed_cache,s6103_r8_n750_a250,development,6103,8,0.75,0.25,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3169359154532238,0.3063668540033218,0.40083526271179964,0.39026620126189765
feedback_only,fixed_cache,s6103_r8_n750_a500,development,6103,8,0.75,0.5,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3169466436227635,0.3063748373450098,0.4008459908813393,0.39027418460358565
feedback_only,fixed_cache,s6104_r1_n000_a000,development,6104,1,0.0,0.0,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,5.462593898325273e-32,4.622231866529366e-33,0.013899347258575865,0.013899347258575865
feedback_only,fixed_cache,s6104_r1_n000_a250,development,6104,1,0.0,0.25,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,5.62416335605969e-32,2.2340787354891936e-32,0.013899347258575865,0.013899347258575865
