seed,condition_id,architecture,feedback_family,budget_k,train_loss,train_accuracy,heldout_loss,heldout_accuracy,retained_context_loss_before_switch,retained_context_accuracy_before_switch,retained_context_accuracy_after_switch,retained_context_forgetting,initial_gradient_cosine,initial_gradient_capture,norm_matched_one_step_progress
4200,dendritic_tree__random_rank_k__k2,dendritic_tree,random_rank_k,2,0.5126597148,0.7470703125,0.5246781884,0.724609375,0.5569756906,0.671875,0.3759765625,0.2958984375,0.4277344062,0.1829567222,0.5255138341
4200,dendritic_tree__learned_rank_k_upper_bound__k2,dendritic_tree,learned_rank_k_upper_bound,2,0.6122877471,0.6396484375,0.6213765541,0.6274414062,0.687362646,0.556640625,0.556640625,0,0.5142426846,0.2644455386,0.4809297611
4200,dendritic_tree__correct_ancestry_subtrees__k4,dendritic_tree,correct_ancestry_subtrees,4,0.3865267463,0.8310546875,0.4263004694,0.7998046875,0.3958541505,0.8291015625,0.8291015625,0,0.7253833826,0.5261810518,0.9809770007
4200,dendritic_tree__within_neuron_route_derangement__k4,dendritic_tree,within_neuron_route_derangement,4,17.21972401,0.1840820312,17.21032127,0.197265625,17.65945571,0.1767578125,0.1748046875,0.001953125,0,0,-1.056968429
4200,dendritic_tree__depth_interleaved_bins__k4,dendritic_tree,depth_interleaved_bins,4,0.5248074597,0.7875976562,0.5549636485,0.73046875,0.5328090054,0.7685546875,0.19140625,0.5771484375,0.716459245,0.5133138497,0.773467426
4200,dendritic_tree__random_sparse_matched__k4,dendritic_tree,random_sparse_matched,4,0.4599688026,0.8022460938,0.491309885,0.7690429688,0.4657833795,0.787109375,0.501953125,0.28515625,0.7210248103,0.5198767771,0.8458811256
4200,dendritic_tree__random_rank_k__k4,dendritic_tree,random_rank_k,4,0.4190649691,0.833984375,0.4695485127,0.8129882812,0.409433752,0.8310546875,0.8232421875,0.0078125,0.7044718024,0.4962805204,0.9209871522
4200,dendritic_tree__learned_rank_k_upper_bound__k4,dendritic_tree,learned_rank_k_upper_bound,4,0.5275889926,0.7265625,0.5558968017,0.7133789062,0.6115140409,0.6591796875,0.6591796875,0,0.714659246,0.5107378378,0.6763665352
4200,dendritic_tree__correct_ancestry_subtrees__k8,dendritic_tree,correct_ancestry_subtrees,8,0.367931116,0.8374023438,0.4111300619,0.8095703125,0.3827171658,0.826171875,0.826171875,0,1,1,1
4200,dendritic_tree__within_neuron_route_derangement__k8,dendritic_tree,within_neuron_route_derangement,8,6.711361121,0.2514648438,6.98274369,0.2641601562,7.453702203,0.248046875,0.248046875,0,0,0,-0.9059845451
