seed,effective_sample_size,parameterization,optimizer,route_rank,address_residual,checkpoint,population_loss,field_estimation_error,coefficient_norm,gram_condition_number,gram_lambda_max
9101,256,tree_haar,gram_preconditioned_control,8,1.59190147e-31,80,0.006708687298,0.0134173746,1.041214589,1,1
9101,256,raw_nested_indicators,vanilla_local,8,2.883117127e-31,1,0.4611165902,0.9222331804,0.0189202078,15,30
9101,256,raw_nested_indicators,vanilla_local,8,2.883117127e-31,5,0.3548832162,0.7097664324,0.07261268611,15,30
9101,256,raw_nested_indicators,vanilla_local,8,2.883117127e-31,20,0.1589879679,0.3179759359,0.2068185654,15,30
9101,256,raw_nested_indicators,vanilla_local,8,2.883117127e-31,80,0.01916318286,0.03832636572,0.413714764,15,30
9101,256,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,1,0.2975153719,0.5950307439,0.1339833677,15,30
9101,256,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,5,0.045813818,0.09162763601,0.382372338,15,30
9101,256,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,20,0.006382387101,0.0127647742,0.4786473731,15,30
9101,256,raw_nested_indicators,gram_preconditioned_control,8,2.883117127e-31,80,0.006708687298,0.0134173746,0.5198008496,15,30
9101,256,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,1,0.4791933705,0.9583867411,0.002376530483,388.5198166,807.7404929
9101,256,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,5,0.411986649,0.8239732979,0.01001502021,388.5198166,807.7404929
9101,256,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,20,0.3153281178,0.6306562355,0.02768399265,388.5198166,807.7404929
9101,256,static_gain_scaled_nested,vanilla_local,8,6.869912482e-31,80,0.225703901,0.4514078021,0.05954318926,388.5198166,807.7404929
9101,256,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,1,0.2975153719,0.5950307439,0.08537602091,388.5198166,807.7404929
9101,256,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,5,0.045813818,0.09162763601,0.2492471715,388.5198166,807.7404929
9101,256,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,20,0.006382387101,0.0127647742,0.2982540961,388.5198166,807.7404929
9101,256,static_gain_scaled_nested,gram_preconditioned_control,8,6.869912482e-31,80,0.006708687298,0.0134173746,0.3407989202,388.5198166,807.7404929
9102,4,tree_haar,vanilla_local,8,2.626005479e-31,1,0.5367625929,1.073525186,0.635712353,1,1
9102,4,tree_haar,vanilla_local,8,2.626005479e-31,5,0.3282335659,0.6564671319,1.518893931,1,1
9102,4,tree_haar,vanilla_local,8,2.626005479e-31,20,0.1912774231,0.3825548462,1.12375466,1,1
9102,4,tree_haar,vanilla_local,8,2.626005479e-31,80,0.2099399321,0.4198798642,1.413168535,1,1
9102,4,tree_haar,gram_preconditioned_control,8,2.626005479e-31,1,0.5367625929,1.073525186,0.635712353,1,1
9102,4,tree_haar,gram_preconditioned_control,8,2.626005479e-31,5,0.3282335659,0.6564671319,1.518893931,1,1
9102,4,tree_haar,gram_preconditioned_control,8,2.626005479e-31,20,0.1912774231,0.3825548462,1.12375466,1,1
9102,4,tree_haar,gram_preconditioned_control,8,2.626005479e-31,80,0.2099399321,0.4198798642,1.413168535,1,1
9102,4,raw_nested_indicators,vanilla_local,8,5.430159478e-31,1,0.4603411326,0.9206822653,0.05780838997,15,30
9102,4,raw_nested_indicators,vanilla_local,8,5.430159478e-31,5,0.2332712051,0.4665424102,0.2165603887,15,30
9102,4,raw_nested_indicators,vanilla_local,8,5.430159478e-31,20,0.1627881003,0.3255762005,0.2767140128,15,30
9102,4,raw_nested_indicators,vanilla_local,8,5.430159478e-31,80,0.1426288453,0.2852576905,0.4097636509,15,30
9102,4,raw_nested_indicators,gram_preconditioned_control,8,5.430159478e-31,1,0.5367625929,1.073525186,0.3457552453,15,30
9102,4,raw_nested_indicators,gram_preconditioned_control,8,5.430159478e-31,5,0.3282335659,0.6564671319,0.5225980538,15,30
9102,4,raw_nested_indicators,gram_preconditioned_control,8,5.430159478e-31,20,0.1912774231,0.3825548462,0.3961737572,15,30
9102,4,raw_nested_indicators,gram_preconditioned_control,8,5.430159478e-31,80,0.2099399321,0.4198798642,0.6031160919,15,30
9102,4,static_gain_scaled_nested,vanilla_local,8,5.801382475e-31,1,0.4733750378,0.9467500757,0.00741472898,388.5198166,807.7404929
9102,4,static_gain_scaled_nested,vanilla_local,8,5.801382475e-31,5,0.4087526876,0.8175053753,0.01696055089,388.5198166,807.7404929
9102,4,static_gain_scaled_nested,vanilla_local,8,5.801382475e-31,20,0.3986121186,0.7972242371,0.0331699315,388.5198166,807.7404929
9102,4,static_gain_scaled_nested,vanilla_local,8,5.801382475e-31,80,0.3179566945,0.6359133889,0.07235850691,388.5198166,807.7404929
9102,4,static_gain_scaled_nested,gram_preconditioned_control,8,5.801382475e-31,1,0.5367625929,1.073525186,0.1812742691,388.5198166,807.7404929
