task_id,arm,method,seconds,calibration_fitting_shared_seconds,regime,pilot_update_seconds,pilot_evaluation_seconds
s6100_r4_n750_a250,joint_forward_feedback,gaussian_oracle_sgd,0.049840852967463434,0.0,,,
s6100_r4_n750_a250,joint_forward_feedback,empirical_split_fullbatch,0.011302417959086597,,,,
s6100_r4_n750_a250,joint_forward_feedback,original_scalar,0.034624824998900294,,,,
s6100_r4_n750_a500,feedback_only,gaussian_plugin_fullbatch,0.0007240610430017114,0.003747797105461359,,,
s6100_r4_n750_a500,feedback_only,gaussian_plugin_sgd,0.05001338594593108,0.003747797105461359,,,
s6100_r4_n750_a500,feedback_only,gaussian_oracle_fullbatch,0.0007117110071703792,0.0,,,
s6100_r4_n750_a500,feedback_only,gaussian_oracle_sgd,0.0502162630436942,0.0,,,
s6100_r4_n750_a500,feedback_only,empirical_split_fullbatch,0.011387167032808065,,,,
s6100_r4_n750_a500,feedback_only,original_scalar,0.032900427002459764,,,,
s6100_r4_n750_a500,joint_forward_feedback,gaussian_plugin_fullbatch,0.0007265759631991386,0.0036262409994378686,,,
s6100_r4_n750_a500,joint_forward_feedback,gaussian_plugin_sgd,0.04978018009569496,0.0036262409994378686,,,
s6100_r4_n750_a500,joint_forward_feedback,gaussian_oracle_fullbatch,0.0007234190125018358,0.0,,,
s6100_r4_n750_a500,joint_forward_feedback,gaussian_oracle_sgd,0.04999527893960476,0.0,,,
s6100_r4_n750_a500,joint_forward_feedback,empirical_split_fullbatch,0.01142395194619894,,,,
s6100_r4_n750_a500,joint_forward_feedback,original_scalar,0.032307690009474754,,,,
s6100_r8_n000_a000,feedback_only,gaussian_plugin_fullbatch,0.0009506620699539781,0.004297764040529728,,,
s6100_r8_n000_a000,feedback_only,gaussian_plugin_sgd,0.07444311596918851,0.004297764040529728,,,
s6100_r8_n000_a000,feedback_only,gaussian_oracle_fullbatch,0.000855004065670073,0.0,,,
s6100_r8_n000_a000,feedback_only,gaussian_oracle_sgd,0.07379866496194154,0.0,,,
s6100_r8_n000_a000,feedback_only,empirical_split_fullbatch,0.011713439947925508,,,,
s6100_r8_n000_a000,feedback_only,original_scalar,0.03357085504103452,,,,
s6100_r8_n000_a000,joint_forward_feedback,gaussian_plugin_fullbatch,0.0009451259393244982,0.004099097917787731,,,
s6100_r8_n000_a000,joint_forward_feedback,gaussian_plugin_sgd,0.07423312903847545,0.004099097917787731,,,
s6100_r8_n000_a000,joint_forward_feedback,gaussian_oracle_fullbatch,0.0008856040658429265,0.0,,,
s6100_r8_n000_a000,joint_forward_feedback,gaussian_oracle_sgd,0.07527089200448245,0.0,,,
s6100_r8_n000_a000,joint_forward_feedback,empirical_split_fullbatch,0.012001120019704103,,,,
s6100_r8_n000_a000,joint_forward_feedback,original_scalar,0.033111584023572505,,,,
s6100_r8_n000_a250,feedback_only,gaussian_plugin_fullbatch,0.0008905150461941957,0.00409015198238194,,,
s6100_r8_n000_a250,feedback_only,gaussian_plugin_sgd,0.07443550101015717,0.00409015198238194,,,
s6100_r8_n000_a250,feedback_only,gaussian_oracle_fullbatch,0.0008727139793336391,0.0,,,
s6100_r8_n000_a250,feedback_only,gaussian_oracle_sgd,0.07420828100293875,0.0,,,
s6100_r8_n000_a250,feedback_only,empirical_split_fullbatch,0.011929069994948804,,,,
s6100_r8_n000_a250,feedback_only,original_scalar,0.034695747890509665,,,,
s6100_r8_n000_a250,joint_forward_feedback,gaussian_plugin_fullbatch,0.0009913210524246097,0.004032262018881738,,,
s6100_r8_n000_a250,joint_forward_feedback,gaussian_plugin_sgd,0.07498412404675037,0.004032262018881738,,,
s6100_r8_n000_a250,joint_forward_feedback,gaussian_oracle_fullbatch,0.0009040189906954765,0.0,,,
s6100_r8_n000_a250,joint_forward_feedback,gaussian_oracle_sgd,0.07501957600470632,0.0,,,
s6100_r8_n000_a250,joint_forward_feedback,empirical_split_fullbatch,0.011992539977654815,,,,
s6100_r8_n000_a250,joint_forward_feedback,original_scalar,0.03369737695902586,,,,
s6100_r8_n000_a500,feedback_only,gaussian_plugin_fullbatch,0.0009719789959490299,0.0042070390190929174,,,
s6100_r8_n000_a500,feedback_only,gaussian_plugin_sgd,0.07463979790918529,0.0042070390190929174,,,
s6100_r8_n000_a500,feedback_only,gaussian_oracle_fullbatch,0.000868896022439003,0.0,,,
s6100_r8_n000_a500,feedback_only,gaussian_oracle_sgd,0.07459690002724528,0.0,,,
s6100_r8_n000_a500,feedback_only,empirical_split_fullbatch,0.011974042980000377,,,,
s6100_r8_n000_a500,feedback_only,original_scalar,0.03460255800746381,,,,
s6100_r8_n000_a500,joint_forward_feedback,gaussian_plugin_fullbatch,0.0009357749950140715,0.004035033984109759,,,
s6100_r8_n000_a500,joint_forward_feedback,gaussian_plugin_sgd,0.07460204896051437,0.004035033984109759,,,
s6100_r8_n000_a500,joint_forward_feedback,gaussian_oracle_fullbatch,0.0008872220059856772,0.0,,,
s6100_r8_n000_a500,joint_forward_feedback,gaussian_oracle_sgd,0.07414582301862538,0.0,,,
s6100_r8_n000_a500,joint_forward_feedback,empirical_split_fullbatch,0.011946841957978904,,,,
s6100_r8_n000_a500,joint_forward_feedback,original_scalar,0.03345422202255577,,,,
s6100_r8_n750_a000,feedback_only,gaussian_plugin_fullbatch,0.0009106741053983569,0.004217930953018367,,,
s6100_r8_n750_a000,feedback_only,gaussian_plugin_sgd,0.07456952298525721,0.004217930953018367,,,
s6100_r8_n750_a000,feedback_only,gaussian_oracle_fullbatch,0.0008769899141043425,0.0,,,
s6100_r8_n750_a000,feedback_only,gaussian_oracle_sgd,0.07470485894009471,0.0,,,
s6100_r8_n750_a000,feedback_only,empirical_split_fullbatch,0.01176674198359251,,,,
s6100_r8_n750_a000,feedback_only,original_scalar,0.034479381050914526,,,,
s6100_r8_n750_a000,joint_forward_feedback,gaussian_plugin_fullbatch,0.0008994520176202059,0.004200470051728189,,,
s6100_r8_n750_a000,joint_forward_feedback,gaussian_plugin_sgd,0.07467471808195114,0.004200470051728189,,,
s6100_r8_n750_a000,joint_forward_feedback,gaussian_oracle_fullbatch,0.0008861630922183394,0.0,,,
s6100_r8_n750_a000,joint_forward_feedback,gaussian_oracle_sgd,0.07458894595038146,0.0,,,
s6100_r8_n750_a000,joint_forward_feedback,empirical_split_fullbatch,0.011941042030230165,,,,
s6100_r8_n750_a000,joint_forward_feedback,original_scalar,0.0334023330360651,,,,
s6100_r8_n750_a250,feedback_only,gaussian_plugin_fullbatch,0.0009378190152347088,0.004113391973078251,,,
s6100_r8_n750_a250,feedback_only,gaussian_plugin_sgd,0.07475959195289761,0.004113391973078251,,,
s6100_r8_n750_a250,feedback_only,gaussian_oracle_fullbatch,0.0008886969881132245,0.0,,,
s6100_r8_n750_a250,feedback_only,gaussian_oracle_sgd,0.07428108702879399,0.0,,,
s6100_r8_n750_a250,feedback_only,empirical_split_fullbatch,0.01183594693429768,,,,
s6100_r8_n750_a250,feedback_only,original_scalar,0.033345815958455205,,,,
s6100_r8_n750_a250,joint_forward_feedback,gaussian_plugin_fullbatch,0.0009548959787935019,0.004045382956974208,,,
