seed,depth,config_index,record_index_distal_to_soma,is_soma_stage,module_name,component,mean,std,min,q05,q50,q95,max,n
10201,2,11,1,False,core_network.layers.0.populations.e.branch_layers.1,total_conductance,68.87785177,13.1899642,51.81678009,53.36763916,66.06162643,91.5626236,121.7677917,16384
10201,2,11,1,False,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.01502815057,0.002702198203,0.008212352172,0.01092148703,0.01513738139,0.01873794757,0.01929876767,16384
10201,2,11,1,False,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,16384
10201,2,11,1,False,core_network.layers.0.populations.e.branch_layers.1,path_gain,0.4848850081,0.01133344575,0.4661894739,0.470105648,0.4848488569,0.4997401536,0.5036382079,16384
10201,2,11,2,True,core_network.layers.0.populations.e.branch_layers.2,branch_voltage,0.3956036592,0.1828372294,0.1551705003,0.1957717024,0.2521440089,0.594004932,0.6058793664,8192
10201,2,11,2,True,core_network.layers.0.populations.e.branch_layers.2,total_conductance,33.07994038,0.08285529664,32.98946762,32.98995209,33.14071465,33.17338181,33.17855835,8192
10201,2,11,2,True,core_network.layers.0.populations.e.branch_layers.2,input_resistance,0.03022999034,7.572428868e-05,0.03013994731,0.03014465049,0.03017436434,0.03031226061,0.03031270579,8192
10201,2,11,2,True,core_network.layers.0.populations.e.branch_layers.2,activation_derivative,1,0,1,1,1,1,1,8192
10201,2,11,2,True,core_network.layers.0.populations.e.branch_layers.2,path_gain,1,0,1,1,1,1,1,8192
10202,2,12,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.501815271,0.3543691153,0.0003234634642,0.001738840155,0.5121795833,0.9711348593,0.9865631461,49152
10202,2,12,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,87.5613181,68.46550065,7.21668911,10.29245052,66.52416611,231.5560974,394.0611572,49152
10202,2,12,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.02699231393,0.03096549057,0.002537677065,0.004318608041,0.01503213122,0.09715859033,0.138567701,49152
10202,2,12,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,49152
10202,2,12,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1152998456,0.02833696537,0.05744624883,0.07715176679,0.1039163098,0.151480528,0.155278936,49152
10202,2,12,1,False,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3894520325,0.2729070312,0.1180196777,0.1474893093,0.2999303341,0.9021454751,0.9289568067,16384
10202,2,12,1,False,core_network.layers.0.populations.e.branch_layers.1,total_conductance,70.86191714,14.06485231,51.92024231,53.3308918,70.85948944,95.71721382,125.0820999,16384
10202,2,12,1,False,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.01466073536,0.002807833106,0.007994748652,0.01044744146,0.01411243575,0.01875085887,0.0192603115,16384
10202,2,12,1,False,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,16384
10202,2,12,1,False,core_network.layers.0.populations.e.branch_layers.1,path_gain,0.4848813941,0.0129525824,0.4674952924,0.4689125121,0.4848460257,0.5008993745,0.5023177862,16384
10202,2,12,2,True,core_network.layers.0.populations.e.branch_layers.2,branch_voltage,0.3812344789,0.183939304,0.1748430133,0.1974597998,0.2385450676,0.6001980454,0.6170636415,8192
10202,2,12,2,True,core_network.layers.0.populations.e.branch_layers.2,total_conductance,33.07197785,0.06786209314,32.99045181,32.99294281,33.12215996,33.13874817,33.14591217,8192
10202,2,12,2,True,core_network.layers.0.populations.e.branch_layers.2,input_resistance,0.03023720614,6.207537856e-05,0.03016963229,0.03017615527,0.03019126784,0.03030951135,0.03031180054,8192
10202,2,12,2,True,core_network.layers.0.populations.e.branch_layers.2,activation_derivative,1,0,1,1,1,1,1,8192
10202,2,12,2,True,core_network.layers.0.populations.e.branch_layers.2,path_gain,1,0,1,1,1,1,1,8192
10203,2,13,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.4907361505,0.3452542802,0.0003612794098,0.002067885397,0.5023990571,0.9660603493,0.9812350273,49152
10203,2,13,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,80.61294056,60.96799704,6.909555435,10.07157431,65.64889145,209.9422981,335.669281,49152
10203,2,13,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.02855644078,0.03229391009,0.002979122801,0.004763213475,0.01523254998,0.09928934351,0.1447271109,49152
10203,2,13,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,49152
