cohort,regime,root_id,focal_segment_id,dose,perturbation,category,n_sites,median_abs_log_gradient_change,mean_abs_log_gradient_change,synapse_weighted_median_abs_log_gradient_change,median_signed_log_gradient_change,gradient_sign_flip_fraction
original_eight,Ra150_Rm300,864691135277186789,4009,1.0,focal shunt,depth-matched unrelated,3,0.002018105072237588,0.002018105072238256,0.002018105072237588,-0.002018105072237588,0.0
original_eight,Ra150_Rm300,864691135324623260,5647,1.0,matched additive,descendant,13,0.0020627424687994092,0.003832330754406419,0.0009133970276609213,0.0020627424687994092,0.0
original_eight,Ra150_Rm300,864691135324623260,5647,1.0,matched additive,depth-matched unrelated,13,2.2204460492503128e-16,1.3664283380001927e-16,2.2204460492503128e-16,2.2204460492503128e-16,0.0
original_eight,Ra150_Rm300,864691135324623260,5647,1.0,focal shunt,descendant,13,0.03523892860305472,0.033511489595699724,0.03636076150410922,-0.03523892860305472,0.0
original_eight,Ra150_Rm300,864691135324623260,5647,1.0,focal shunt,depth-matched unrelated,13,0.012987894397386542,0.012987894397381896,0.012987894397364048,-0.012987894397386542,0.0
original_eight,Ra150_Rm300,864691135324623260,5652,1.0,matched additive,descendant,7,0.0011851911909532295,0.003034528421309731,0.00035323221003394947,0.0011851911909532295,0.0
original_eight,Ra150_Rm300,864691135324623260,5652,1.0,matched additive,depth-matched unrelated,7,2.2204460492503128e-16,1.586032892321652e-16,2.2204460492503128e-16,2.2204460492503128e-16,0.0
original_eight,Ra150_Rm300,864691135324623260,5652,1.0,focal shunt,descendant,7,0.03341251403019781,0.0316133709620733,0.03422176920212427,-0.03341251403019781,0.0
original_eight,Ra150_Rm300,864691135324623260,5652,1.0,focal shunt,depth-matched unrelated,7,0.006875503900883049,0.006875503900889133,0.006875503900883049,-0.006875503900883049,0.0
original_eight,Ra150_Rm300,864691135324623260,5677,1.0,matched additive,descendant,5,0.011882294945801666,0.054129666584299865,0.011882294945801666,0.011882294945801666,0.0
original_eight,Ra150_Rm300,864691135324623260,5677,1.0,matched additive,depth-matched unrelated,5,0.001590137501066864,0.0026474981241373526,0.001590137501066864,0.001590137501066864,0.0
original_eight,Ra150_Rm300,864691135324623260,5677,1.0,focal shunt,descendant,5,0.3229103769912589,0.2916070024074385,0.3229103769912589,-0.3229103769912589,0.0
