panel,task,series,x_name,x_label,unit,mean,signed_mean,n_seeds,interval,endpoint,drop_radius_pt,record,x,ci95_low,ci95_high,seed,value,noise,common_rate,ci_low,ci_high,positive_seeds
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023106547684213306,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,8704.0,0.022814658092652308,0.023411879077796984,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023024864021492623,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,8960.0,0.022766945367878134,0.023299887748985497,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023067232177740295,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,9216.0,0.022780595490127592,0.023376781280511422,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023116782174612313,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,9472.0,0.022837639304516353,0.02341623158167831,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02322143184321965,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,9728.0,0.02293340575613551,0.023521434214447214,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023166674005520964,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,9984.0,0.022926267056642885,0.023423004348235132,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023211025028301243,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,10240.0,0.022969324822792386,0.023483834306969896,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02311260252433872,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,10496.0,0.02280720425109623,0.023456742384344826,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023247725904634343,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,10752.0,0.022965947369950068,0.023570574210820813,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02313803370984236,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,11008.0,0.02287344498722078,0.023444576719674783,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02306873272885056,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,11264.0,0.022756032267401013,0.023383671572303075,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023110872560595234,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,11520.0,0.02284360973781849,0.023405470770033004,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023167156951395172,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,11776.0,0.022845864202688,0.023535653227448224,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023196752947190626,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,12032.0,0.02285699019063523,0.02362674788788896,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02296054250985851,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,12288.0,0.02271512982898796,0.023221559291282362,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.02306060624554146,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,12544.0,0.02280278695087871,0.023330798040556416,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.0232271315204062,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,12800.0,0.022931483338596754,0.023556460443728933,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.0229867579049816,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,13056.0,0.02270707769711242,0.023280509472268215,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023054177646127196,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,13312.0,0.022749594739292726,0.023377232746812356,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023214682667653752,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,13568.0,0.022893286974102284,0.02354765649296011,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023285433413687676,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,13824.0,0.022976235243673607,0.02360055331794316,,,,,,,
C,Pairwise,unit broadcast,training updates,,test NMSE,0.023093717959882423,,20.0,95 % percentile bootstrap,fixed checkpoint,,curve summary,14080.0,0.022799463308910684,0.0234010240285718,,,,,,,
