hierarchy,regime,architecture,mechanism,credit,depth,seed,train_accuracy_clean,valid_accuracy_clean,test_accuracy_clean,train_accuracy_historical,valid_accuracy_historical,test_accuracy_historical,_merge,train_accuracy_difference,train_accuracy_absolute_difference,valid_accuracy_difference,valid_accuracy_absolute_difference,test_accuracy_difference,test_accuracy_absolute_difference
3,rewired_tree,serial_tree,shunting,full_bp,1,10203,0.6247000098228455,0.620199978351593,0.6137999892234802,0.625,0.6205999851,0.6132999659,both,-0.000299990177154541,0.000299990177154541,-0.00040000674840701134,0.00040000674840701134,0.0005000233234802032,0.0005000233234802032
3,rewired_tree,serial_tree,shunting,full_bp,1,10204,0.6265000104904175,0.6118999719619751,0.6010000109672546,0.6268999577,0.6125000119,0.6014999747,both,-0.0003999472095824741,0.0003999472095824741,-0.0006000399380249322,0.0006000399380249322,-0.0004999637327454121,0.0004999637327454121
3,rewired_tree,serial_tree,shunting,full_bp,1,10205,0.6158999800682068,0.6054999828338623,0.6128000020980835,0.6154999733,0.6046999693,0.6128000021,both,0.0004000067682068398,0.0004000067682068398,0.000800013533862276,0.000800013533862276,-1.9164669851079452e-12,1.9164669851079452e-12
3,rewired_tree,serial_tree,shunting,full_bp,1,10206,0.6126999855041504,0.6107000112533569,0.6107000112533569,0.6132000089,0.6114999652,0.6110000014,both,-0.0005000233958496469,0.0005000233958496469,-0.0007999539466431171,0.0007999539466431171,-0.0002999901466430588,0.0002999901466430588
3,rewired_tree,serial_tree,shunting,full_bp,1,10207,0.6237999796867371,0.618399977684021,0.6103000044822693,0.6225999594,0.6179000139,0.6107999682,both,0.0012000202867370469,0.0012000202867370469,0.0004999637840209514,0.0004999637840209514,-0.0004999637177307559,0.0004999637177307559
3,rewired_tree,serial_tree,shunting,full_bp,1,10208,0.6184999942779541,0.611799955368042,0.6137999892234802,0.619599998,0.6121999621,0.6139000058,both,-0.0011000037220458836,0.0011000037220458836,-0.000400006731958058,0.000400006731958058,-0.00010001657651981244,0.00010001657651981244
3,rewired_tree,serial_tree,shunting,full_bp,1,10209,0.6204999685287476,0.6152999997138977,0.6056999564170837,0.6202999949,0.6157000065,0.6055999994,both,0.00019997362874757396,0.00019997362874757396,-0.00040000678610230267,0.00040000678610230267,9.99570170837627e-05,9.99570170837627e-05
3,rewired_tree,serial_tree,shunting,full_bp,2,10200,0.6055999994277954,0.6080999970436096,0.601099967956543,0.6049000025,0.6079999804,0.5997999907,both,0.0006999969277954321,0.0006999969277954321,0.00010001664360959062,0.00010001664360959062,0.0012999772565429613,0.0012999772565429613
3,rewired_tree,serial_tree,shunting,full_bp,2,10201,0.6197999715805054,0.606499969959259,0.6101999878883362,0.6194999814,0.6078999639,0.6108999848,both,0.00029999018050541615,0.00029999018050541615,-0.0013999939407409734,0.0013999939407409734,-0.0006999969116637805,0.0006999969116637805
3,rewired_tree,serial_tree,shunting,full_bp,2,10202,0.6085999608039856,0.6133999824523926,0.6171000003814697,0.6093999743,0.6132000089,0.6147999763,both,-0.00080001349601444,0.00080001349601444,0.00019997355239254055,0.00019997355239254055,0.002300024081469676,0.002300024081469676
3,rewired_tree,serial_tree,shunting,full_bp,2,10203,0.621399998664856,0.6152999997138977,0.6060999631881714,0.6214999557,0.6153999567,0.6062999964,both,-9.995703514409371e-05,9.995703514409371e-05,-9.995698610232306e-05,9.995698610232306e-05,-0.00020003321182859857,0.00020003321182859857
3,rewired_tree,serial_tree,shunting,full_bp,2,10204,0.6232999563217163,0.604699969291687,0.5965999960899353,0.6225000024,0.6046999693,0.5961999893,both,0.0007999539217162788,0.0007999539217162788,-8.313016941485785e-12,8.313016941485785e-12,0.00040000678993534766,0.00040000678993534766
3,rewired_tree,serial_tree,shunting,full_bp,2,10205,0.6047999858856201,0.593999981880188,0.611799955368042,0.6054999828,0.5934000015,0.6110000014,both,-0.0006999969143798301,0.0006999969143798301,0.0005999803801879366,0.0005999803801879366,0.0007999539680419998,0.0007999539680419998
3,rewired_tree,serial_tree,shunting,full_bp,2,10206,0.6065999865531921,0.6062999963760376,0.6060000061988831,0.6054999828,0.6056999564,0.6053999662,both,0.0011000037531921913,0.0011000037531921913,0.0006000399760376363,0.0006000399760376363,0.0006000399988830285,0.0006000399988830285
3,rewired_tree,serial_tree,shunting,full_bp,2,10207,0.612500011920929,0.6110000014305115,0.6057999730110168,0.6133999825,0.6114000082,0.6071000099,both,-0.0008999705790710966,0.0008999705790710966,-0.00040000676948848124,0.00040000676948848124,-0.0013000368889831693,0.0013000368889831693
3,rewired_tree,serial_tree,shunting,full_bp,2,10208,0.6129999756813049,0.6036999821662903,0.6060000061988831,0.6140999794,0.6035000086,0.6047999859,both,-0.0011000037186951195,0.0011000037186951195,0.00019997356629031238,0.00019997356629031238,0.0012000202988831088,0.0012000202988831088
3,rewired_tree,serial_tree,shunting,full_bp,2,10209,0.6098999977111816,0.606499969959259,0.6013000011444092,0.6096999645,0.6078999639,0.6018999815,both,0.0002000332111816716,0.0002000332111816716,-0.0013999939407409734,0.0013999939407409734,-0.0005999803555908345,0.0005999803555908345
3,rewired_tree,serial_tree,shunting,full_bp,3,10200,0.6057999730110168,0.6086999773979187,0.6031000018119812,0.6051999927,0.6092999578,0.6038999557,both,0.0005999803110168234,0.0005999803110168234,-0.0005999804020813126,0.0005999804020813126,-0.0007999538880187895,0.0007999538880187895
3,rewired_tree,serial_tree,shunting,full_bp,3,10201,0.6155999898910522,0.6114000082015991,0.6137999892234802,0.6157999635,0.6115999818,0.6143999696,both,-0.00019997360894774552,0.00019997360894774552,-0.00019997359840084883,0.00019997359840084883,-0.0005999803765197598,0.0005999803765197598
3,rewired_tree,serial_tree,shunting,full_bp,3,10202,0.6161999702453613,0.6164000034332275,0.621999979019165,0.6171000004,0.6147999763,0.6218999624,both,-0.0009000301546386869,0.0009000301546386869,0.0016000271332274885,0.0016000271332274885,0.00010001661916503313,0.00010001661916503313
3,rewired_tree,serial_tree,shunting,full_bp,3,10203,0.6151999831199646,0.6195999979972839,0.6035999655723572,0.6162999868,0.6186999679,0.6036999822,both,-0.0011000036800353774,0.0011000036800353774,0.0009000300972838993,0.0009000300972838993,-0.00010001662764280717,0.00010001662764280717
3,rewired_tree,serial_tree,shunting,full_bp,3,10204,0.6241999864578247,0.6061999797821045,0.5961999893188477,0.6258000135,0.6058999896,0.5950999856,both,-0.0016000270421753227,0.0016000270421753227,0.00029999018210447037,0.00029999018210447037,0.0011000037188476641,0.0011000037188476641
3,rewired_tree,serial_tree,shunting,full_bp,3,10205,0.6075999736785889,0.597000002861023,0.6100999712944031,0.6067000031,0.595699966,0.6105999947,both,0.0008999705785888157,0.0008999705785888157,0.0013000368610229796,0.0013000368610229796,-0.000500023405596961,0.000500023405596961
