channels,method,residual,wiring_nonzeros,root_id,residual_sd,actual_channels
4,shuffled ancestry,0.88229125723988,6.0,864691136419314071,0.06441851136393933,
4,depth-only bins,0.8850060856655554,20.0,864691136419314071,,4.0
8,dense PCA oracle,0.2818274855199392,160.0,864691136419314071,,
8,morphology-aware paths,0.4423502327366076,29.0,864691136419314071,,
8,random paths,0.844817050191728,5.75,864691136419314071,0.10497360904404354,
8,shuffled ancestry,0.7625740212081834,29.0,864691136419314071,0.07797511505962357,
8,depth-only bins,0.7439030064302753,20.0,864691136419314071,,8.0
16,dense PCA oracle,0.0,320.0,864691136419314071,,
16,morphology-aware paths,0.12907570793662115,39.0,864691136419314071,,
16,random paths,0.7073363267136036,15.140625,864691136419314071,0.11402808534038393,
16,shuffled ancestry,0.5551758842549888,39.0,864691136419314071,0.11058071097393142,
16,depth-only bins,0.26457293078453437,20.0,864691136419314071,,16.0
1,dense PCA oracle,0.8628794444836227,23.0,864691136389026167,,
1,morphology-aware paths,0.8654530831787197,1.0,864691136389026167,,
1,random paths,0.9839386580214801,0.796875,864691136389026167,0.028871024567989272,
1,shuffled ancestry,0.9806810095428924,1.0,864691136389026167,0.03070107368908989,
1,depth-only bins,0.9467214221562901,23.0,864691136389026167,,1.0
2,dense PCA oracle,0.7618807936939551,46.0,864691136389026167,,
2,morphology-aware paths,0.7664626479986143,2.0,864691136389026167,,
2,random paths,0.9614458105255729,3.046875,864691136389026167,0.04396076033823771,
2,shuffled ancestry,0.9570419811989181,2.0,864691136389026167,0.04298491340134837,
2,depth-only bins,0.9007838392784209,23.0,864691136389026167,,2.0
4,dense PCA oracle,0.5882736419632624,92.0,864691136389026167,,
4,morphology-aware paths,0.6988429638898518,7.0,864691136389026167,,
4,random paths,0.9343662181205685,4.125,864691136389026167,0.055780001224333825,
4,shuffled ancestry,0.9077877607803493,7.0,864691136389026167,0.05900717732403187,
