seed,family,optimizer,rule,reference,population_nmse,accuracy,balanced_accuracy
2026214,and4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026214,and4,adam,broadcast,uniform_random_candidate_expectation,0.0033167546478514998,1.0,1.0
2026214,and4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026214,and4,adam,exact,uniform_random_candidate_expectation,0.009289669555165875,1.0,1.0
2026214,and4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026214,and4,sgd,broadcast,uniform_random_candidate_expectation,0.0037156199991142,1.0,1.0
2026214,and4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
2026214,and4,sgd,exact,uniform_random_candidate_expectation,0.00268695275216725,1.0,1.0
2026214,and_of_xors,adam,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026214,and_of_xors,adam,broadcast,uniform_random_candidate_expectation,0.649146263116022,0.796875,0.6979166666666666
2026214,and_of_xors,adam,exact,constant_mean_predictor,1.0,0.75,0.5
2026214,and_of_xors,adam,exact,uniform_random_candidate_expectation,0.43176238177023635,0.9375,0.875
2026214,and_of_xors,sgd,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026214,and_of_xors,sgd,broadcast,uniform_random_candidate_expectation,0.6739521303520986,0.78125,0.6666666666666666
2026214,and_of_xors,sgd,exact,constant_mean_predictor,1.0,0.75,0.5
2026214,and_of_xors,sgd,exact,uniform_random_candidate_expectation,0.43457185806931947,0.921875,0.8645833333333333
2026214,nested,adam,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026214,nested,adam,broadcast,uniform_random_candidate_expectation,0.12109680472024589,0.984375,0.975
2026214,nested,adam,exact,constant_mean_predictor,1.0,0.6875,0.5
2026214,nested,adam,exact,uniform_random_candidate_expectation,0.1084996169530387,0.96875,0.9636363636363636
2026214,nested,sgd,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026214,nested,sgd,broadcast,uniform_random_candidate_expectation,0.11604726285222065,0.984375,0.975
2026214,nested,sgd,exact,constant_mean_predictor,1.0,0.6875,0.5
2026214,nested,sgd,exact,uniform_random_candidate_expectation,0.10734895484585857,0.96875,0.9636363636363636
2026214,or4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026214,or4,adam,broadcast,uniform_random_candidate_expectation,0.004020116164805975,1.0,1.0
2026214,or4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026214,or4,adam,exact,uniform_random_candidate_expectation,0.000933229077446425,1.0,1.0
2026214,or4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026214,or4,sgd,broadcast,uniform_random_candidate_expectation,0.001642002558188225,1.0,1.0
2026214,or4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
2026214,or4,sgd,exact,uniform_random_candidate_expectation,0.00086404093782,1.0,1.0
2026214,or_of_ands,adam,broadcast,constant_mean_predictor,1.0,0.5625,0.5
2026214,or_of_ands,adam,broadcast,uniform_random_candidate_expectation,0.2143900279989502,0.9375,0.9444444444444444
2026214,or_of_ands,adam,exact,constant_mean_predictor,1.0,0.5625,0.5
2026214,or_of_ands,adam,exact,uniform_random_candidate_expectation,0.21067472220261027,0.9375,0.9444444444444444
2026214,or_of_ands,sgd,broadcast,constant_mean_predictor,1.0,0.5625,0.5
2026214,or_of_ands,sgd,broadcast,uniform_random_candidate_expectation,0.21435633293897988,0.9375,0.9444444444444444
2026214,or_of_ands,sgd,exact,constant_mean_predictor,1.0,0.5625,0.5
2026214,or_of_ands,sgd,exact,uniform_random_candidate_expectation,0.21175068671795522,0.9375,0.9444444444444444
2026214,parity4,adam,broadcast,constant_mean_predictor,1.0,0.5,0.5
2026214,parity4,adam,broadcast,uniform_random_candidate_expectation,0.9615053447757289,0.625,0.625
2026214,parity4,adam,exact,constant_mean_predictor,1.0,0.5,0.5
2026214,parity4,adam,exact,uniform_random_candidate_expectation,0.0012895158368607,1.0,1.0
2026214,parity4,sgd,broadcast,constant_mean_predictor,1.0,0.5,0.5
2026214,parity4,sgd,broadcast,uniform_random_candidate_expectation,0.96363947889772,0.59375,0.59375
2026214,parity4,sgd,exact,constant_mean_predictor,1.0,0.5,0.5
2026214,parity4,sgd,exact,uniform_random_candidate_expectation,0.001209074253089925,1.0,1.0
2026214,xor_of_ands,adam,broadcast,constant_mean_predictor,1.0,0.625,0.5
2026214,xor_of_ands,adam,broadcast,uniform_random_candidate_expectation,0.41091343791776547,0.828125,0.8125
2026214,xor_of_ands,adam,exact,constant_mean_predictor,1.0,0.625,0.5
2026214,xor_of_ands,adam,exact,uniform_random_candidate_expectation,0.4371749586611731,0.859375,0.8125
2026214,xor_of_ands,sgd,broadcast,constant_mean_predictor,1.0,0.625,0.5
2026214,xor_of_ands,sgd,broadcast,uniform_random_candidate_expectation,0.4228742861802175,0.8125,0.7916666666666665
2026214,xor_of_ands,sgd,exact,constant_mean_predictor,1.0,0.625,0.5
2026214,xor_of_ands,sgd,exact,uniform_random_candidate_expectation,0.4392314638337845,0.859375,0.8125
2026215,and4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026215,and4,adam,broadcast,uniform_random_candidate_expectation,0.008334355075172474,1.0,1.0
2026215,and4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026215,and4,adam,exact,uniform_random_candidate_expectation,0.0006578847441394,1.0,1.0
2026215,and4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026215,and4,sgd,broadcast,uniform_random_candidate_expectation,0.0047410083167075505,1.0,1.0
2026215,and4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
2026215,and4,sgd,exact,uniform_random_candidate_expectation,0.000533781448306775,1.0,1.0
2026215,and_of_xors,adam,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026215,and_of_xors,adam,broadcast,uniform_random_candidate_expectation,0.5462217483874763,0.828125,0.6979166666666665
2026215,and_of_xors,adam,exact,constant_mean_predictor,1.0,0.75,0.5
2026215,and_of_xors,adam,exact,uniform_random_candidate_expectation,0.44904159345480715,0.90625,0.8958333333333334
2026215,and_of_xors,sgd,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026215,and_of_xors,sgd,broadcast,uniform_random_candidate_expectation,0.541396520762801,0.828125,0.6770833333333333
2026215,and_of_xors,sgd,exact,constant_mean_predictor,1.0,0.75,0.5
2026215,and_of_xors,sgd,exact,uniform_random_candidate_expectation,0.4445851338900666,0.90625,0.8958333333333334
2026215,nested,adam,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026215,nested,adam,broadcast,uniform_random_candidate_expectation,0.11689159540845498,0.984375,0.9886363636363636
2026215,nested,adam,exact,constant_mean_predictor,1.0,0.6875,0.5
2026215,nested,adam,exact,uniform_random_candidate_expectation,0.1095982598083239,0.953125,0.9522727272727273
2026215,nested,sgd,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026215,nested,sgd,broadcast,uniform_random_candidate_expectation,0.11257518046097027,1.0,1.0
2026215,nested,sgd,exact,constant_mean_predictor,1.0,0.6875,0.5
2026215,nested,sgd,exact,uniform_random_candidate_expectation,0.11070916623499162,0.96875,0.9772727272727273
2026215,or4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026215,or4,adam,broadcast,uniform_random_candidate_expectation,0.00762295402653365,1.0,1.0
2026215,or4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026215,or4,adam,exact,uniform_random_candidate_expectation,0.0010462552406881,1.0,1.0
2026215,or4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026215,or4,sgd,broadcast,uniform_random_candidate_expectation,0.00635068931973075,1.0,1.0
