seed,task,phase,step,optimizer,rule,rate,selected_rate,common_rate,validation_nmse,test_nmse,gradient_clipped_steps,projected_steps,bound
2111,aligned_strong,bound_sensitivity,64,sgd,ancestry_three_oracle,0.3,True,True,0.09596301197819884,0.09662813105827965,0,0,20.0
2111,aligned_strong,bound_sensitivity,256,adam,exact,0.03,True,True,0.002618672724084613,0.0025713257263471154,0,0,20.0
2111,aligned_strong,bound_sensitivity,256,adam,unit_broadcast,0.03,True,True,0.010195994303972326,0.009793451212551183,0,0,20.0
2111,aligned_strong,bound_sensitivity,256,adam,calibrated_broadcast,0.03,True,True,0.01019599238011533,0.009793446962235155,0,0,20.0
2111,aligned_strong,bound_sensitivity,256,adam,ancestry_three_oracle,0.03,True,True,0.00247964470214598,0.002435588954718462,0,0,20.0
2111,aligned_strong,bound_sensitivity,256,sgd,exact,0.3,True,True,0.006062986071701864,0.006118819191597777,0,0,20.0
2111,aligned_strong,bound_sensitivity,256,sgd,unit_broadcast,0.3,True,True,0.002361656258168382,0.0022799430689927017,0,0,20.0
2111,aligned_strong,bound_sensitivity,256,sgd,calibrated_broadcast,0.3,True,True,0.00868821793523621,0.008589043817445272,0,0,20.0
2111,aligned_strong,bound_sensitivity,256,sgd,ancestry_three_oracle,0.3,True,True,0.006063826778639171,0.006115696497349882,0,0,20.0
2111,aligned_strong,bound_sensitivity,1024,adam,exact,0.03,True,True,0.00022931649386817837,0.0002337490261837567,0,0,20.0
2111,aligned_strong,bound_sensitivity,1024,adam,unit_broadcast,0.03,True,True,0.003172176917884052,0.0030968140389713824,0,0,20.0
2111,aligned_strong,bound_sensitivity,1024,adam,calibrated_broadcast,0.03,True,True,0.0031718699407599945,0.003096519101717403,0,0,20.0
2111,aligned_strong,bound_sensitivity,1024,adam,ancestry_three_oracle,0.03,True,True,0.0001940358833486491,0.00019679082647481227,0,0,20.0
2111,aligned_strong,bound_sensitivity,1024,sgd,exact,0.3,True,True,0.0006707180557754609,0.0006680890594265969,0,0,20.0
2111,aligned_strong,bound_sensitivity,1024,sgd,unit_broadcast,0.3,True,True,0.0024836503805635173,0.0024090409424489694,0,0,20.0
2111,aligned_strong,bound_sensitivity,1024,sgd,calibrated_broadcast,0.3,True,True,0.00542996344938848,0.005182093155110198,0,0,20.0
2111,aligned_strong,bound_sensitivity,1024,sgd,ancestry_three_oracle,0.3,True,True,0.0006724407831331264,0.0006697357902399498,0,0,20.0
2111,aligned_strong,bound_sensitivity,2048,adam,exact,0.03,True,True,8.676871109603647e-05,8.402103393645425e-05,0,0,20.0
2111,aligned_strong,bound_sensitivity,2048,adam,unit_broadcast,0.03,True,True,0.002002568738178901,0.001955044555301784,0,0,20.0
2111,aligned_strong,bound_sensitivity,2048,adam,calibrated_broadcast,0.03,True,True,0.0020022866936690417,0.001954760402221716,0,0,20.0
2111,aligned_strong,bound_sensitivity,2048,adam,ancestry_three_oracle,0.03,True,True,5.757392557980429e-05,5.4232940840277124e-05,0,0,20.0
2111,aligned_strong,bound_sensitivity,2048,sgd,exact,0.3,True,True,0.00031290880215570637,0.000316516535146734,0,0,20.0
2111,aligned_strong,bound_sensitivity,2048,sgd,unit_broadcast,0.3,True,True,0.002536405066261122,0.0024645809773441874,0,0,20.0
2111,aligned_strong,bound_sensitivity,2048,sgd,calibrated_broadcast,0.3,True,True,0.006062708441845831,0.00576510654661291,0,0,20.0
2111,aligned_strong,bound_sensitivity,2048,sgd,ancestry_three_oracle,0.3,True,True,0.0003105791581198079,0.00031366737379737636,0,0,20.0
2111,aligned_strong,bound_sensitivity,4096,adam,exact,0.03,True,True,6.467009153460121e-06,6.190816849990623e-06,0,0,20.0
2111,aligned_strong,bound_sensitivity,4096,adam,unit_broadcast,0.03,True,True,0.00103733549244489,0.0009946543868432486,0,0,20.0
2111,aligned_strong,bound_sensitivity,4096,adam,calibrated_broadcast,0.03,True,True,0.0010368613247372014,0.0009941874398972659,0,0,20.0
2111,aligned_strong,bound_sensitivity,4096,adam,ancestry_three_oracle,0.03,True,True,1.0186600866461376e-05,9.709559640762185e-06,0,0,20.0
2111,aligned_strong,bound_sensitivity,4096,sgd,exact,0.3,True,True,0.0001681781926924646,0.00017247112098986252,0,0,20.0
2111,aligned_strong,bound_sensitivity,4096,sgd,unit_broadcast,0.3,True,True,0.00250584457681996,0.0024330201540631153,0,0,20.0
2111,aligned_strong,bound_sensitivity,4096,sgd,calibrated_broadcast,0.3,True,True,0.006628011817866451,0.006307511372573249,0,0,20.0
2111,aligned_strong,bound_sensitivity,4096,sgd,ancestry_three_oracle,0.3,True,True,0.00016628089347937362,0.0001699364453489373,0,0,20.0
2111,aligned_strong,bound_sensitivity,8192,adam,exact,0.03,True,True,2.0125903969138564e-07,1.9861692654710203e-07,0,0,20.0
2111,aligned_strong,bound_sensitivity,8192,adam,unit_broadcast,0.03,True,True,0.000991822907315331,0.0009436402688874556,0,0,20.0
