seed,topology,owner,active_contacts,unique_input_features,input_coverage_fraction,repeated_contact_fraction,mean_pairwise_branch_jaccard,feature_degree_cv
42,spatial,71,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,72,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,73,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,74,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,75,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,76,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,77,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,78,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,79,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,80,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,81,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,82,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,83,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,84,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,85,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,86,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,87,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,88,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,89,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,90,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,91,336,336,0.42857142857142855,0.0,0.0,1.1547005383792517
42,spatial,92,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,93,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,94,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,95,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,96,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,97,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,98,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,99,336,336,0.42857142857142855,0.0,0.0,1.1547005383792517
42,spatial,100,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,101,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,102,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,103,336,336,0.42857142857142855,0.0,0.0,1.1547005383792517
42,spatial,104,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,105,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,106,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,107,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,108,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,109,336,336,0.42857142857142855,0.0,0.0,1.1547005383792517
42,spatial,110,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,111,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,112,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,113,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,114,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,115,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,116,336,336,0.42857142857142855,0.0,0.0,1.1547005383792517
42,spatial,117,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,118,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,119,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,120,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,121,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,122,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,123,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
